Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members
02718647-v,be later in time,"postdate, follow",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02719247-v,extend out or project in space,"stick out, protrude, jut out, jut, project",,00027698-v,thrust or extend out,"exsert, stretch out, put out, extend, hold out, stretch forth"
02719932-v,force (molten rock) into pre-existing rock,thrust,,01875972-v,move with force,"push, force"
02720606-v,cause to bulge out or project,protuberate,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02722040-v,be present or associated with an event or entity,"attach to, accompany, come with, go with",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02724891-v,be in a huff and display one's displeasure,"sulk, pout, brood",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02725805-v,be a part or adjunct,"belong to, belong",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02726572-v,to bring something about at a later time than,follow,,01632781-v,cause to happen or to occur as a consequence,"bring, work, play, wreak, make for"
02728324-v,be received or accepted or interpreted in a specific way,play,,02137900-v,give a certain impression of being something or having a certain aspect,"look, appear, seem"
02731589-v,resist doing something,"refrain, forbear",,01119003-v,stand up or offer resistance to somebody or something,"resist, hold out, withstand, stand firm"
02736010-v,have left or have as a remainder,leave,02208144-v,02209880-v,have left,have
02736899-v,stay behind,"persist, remain, stay",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02737117-v,remain present although waning or gradually dying,linger,01861378-v,02736899-v,stay behind,"persist, remain, stay"
02738673-v,have room for; hold without crowding,"accommodate, hold, admit",,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
02739681-v,be recorded or remembered,go down,,02137900-v,give a certain impression of being something or having a certain aspect,"look, appear, seem"
02740528-v,undergo being photographed in a certain way,photograph,,02137900-v,give a certain impression of being something or having a certain aspect,"look, appear, seem"
02742134-v,be used or required for,go into,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02743062-v,"come from; be connected by a relationship of blood, for example","derive, come, descend",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
