Synset,Children,Lemmas,Definitions,Hypernym Lemma,Hypernym ID
00017275-v,1,"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off","change from a waking to a sleeping state",,
00020126-v,1,"wake","be awake, be alert, be there",,
00100659-v,1,"warm up","cause to do preliminary exercises so as to stretch the muscles",,
00107747-v,1,"fracture","break (a bone)",,
02122959-v,1,"notice, mark, note","notice or perceive",,
02123706-v,1,"ignore","fail to notice",,
02151220-v,1,"conceal, hold back, hold in","hold back; keep from being perceived by others",,
02132531-v,1,"discover","see for the first time; make a discovery",,
02161530-v,1,"produce, bring on, bring out","bring onto the market or release",,
02132318-v,1,"miss, lose","fail to perceive or to catch with the senses or the mind",,
02198732-v,1,"taste, savor, savour","have flavor; taste of something",,
00593432-v,1,"resonate, come across","be received or understood",,
00597527-v,1,"know","have fixed in the mind",,
00610654-v,1,"forget, block, blank out, draw a blank","be unable to remember",,
02292463-v,1,"lose","miss from one's possessions; lose sight of",,
00614907-v,1,"abandon, give up","stop maintaining or insisting on; of ideas or claims",,
00617843-v,1,"neglect","fail to attend to",,
00618547-v,1,"neglect, ignore, disregard","give little or no attention to",,
00638550-v,1,"establish, base, ground, found","use as a basis for; found on",,
00681308-v,1,"choose, prefer, opt","select as an alternative over another",,
00738221-v,1,"analyze, analyse","break down into components or essential features",,
01084999-v,1,"enter, participate","become a participant; be involved in",,
01096197-v,1,"campaign, take the field","go on a campaign; go off to war",,
01116393-v,1,"keep up","maintain a required pace or level",,
01120499-v,1,"submit","yield to the control of another",,
00258995-v,1,"leak","have an opening that allows light or substances to enter or go out",,
01993576-v,1,"collapse, burst","cause to burst",,
00360745-v,1,"leave, leave behind","be survived by after one's death",,
00415969-v,1,"settle","form a community",,
00975760-v,1,"air","be broadcast",,
02552922-v,1,"dishonor, disgrace, dishonour, attaint, shame","bring shame or dishonor upon",,
01328456-v,1,"kill","deprive of life",,
01339317-v,1,"overlay, cover","put something on top of something else",,
01377960-v,1,"splash","strike and dash about in a liquid",,
01460857-v,1,"percolate","cause (a solvent) to pass through a permeable substance in order to extract a soluble constituent",,
02293000-v,1,"lose","fail to get or obtain",,
00781646-v,1,"rest","give a rest to",,
00922307-v,1,"determine, check, find out, see, ascertain, watch, learn","find out, learn, or determine with certainty, usually by making an inquiry or other effort",,
00938019-v,1,"break, get out, get around","be released or become known; of news",,
01008855-v,1,"correspond","exchange messages",,
02209474-v,1,"own, have, possess","have ownership or possession of",,
02270824-v,1,"save, lay aside, save up","accumulate money for future use",,
02258963-v,1,"owe","be obliged to pay or repay",,
02271765-v,1,"save","spend less; buy at a reduced price",,
02214718-v,1,"take, accept","make use of or accept for some purpose",,
01791641-v,1,"madden, craze","cause to go crazy; cause to lose one's mind",,
02724891-v,1,"sulk, pout, brood","be in a huff and display one's displeasure",,
01814900-v,1,"despair","abandon hope; give up hope; lose heart",,
01817466-v,1,"gladden, joy","make glad or happy",,
