06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
11086204-n,"Humboldt, Baron Wilhelm von Humboldt, Baron Karl Wilhelm von Humboldt",German philologist noted for his studies of the relation between language and culture (1767-1835)
11087875-n,"Huss, John Huss, Hus, Jan Hus",Czechoslovakian religious reformer who anticipated the Reformation; he questioned the infallibility of the Catholic Church was excommunicated (1409) for attacking the corruption of the clergy; he was burned at the stake (1372-1415)
11088391-n,"Hussein, Husain, Husayn, Saddam Hussein, Saddam, Saddam bin Hussein at-Takriti",Iraqi leader who waged war against Iran; his invasion of Kuwait led to the Gulf War (born in 1937)
11089736-n,"Huxley, Aldous Huxley, Aldous Leonard Huxley",English writer; grandson of Thomas Huxley who is remembered mainly for his depiction of a scientifically controlled utopia (1894-1963)
11090845-n,"Iglesias, Julio Iglesias",Spanish singer noted for his ballads and love songs (born in 1943)
11091667-n,"William Inge, Inge, William Ralph Inge, Gloomy Dean",English prelate noted for his pessimistic sermons and articles (1860-1954)
11092179-n,"Pope Innocent VIII, Innocent VIII, Giovanni Battista Cibo",Italian pope from 1484 to 1492 who was known as a nepotist and was attacked by Savonarola for his worldliness (1432-1492)
11092663-n,"Pope Innocent XII, Innocent XII, Antonio Pignatelli",Italian pope from 1691 to 1700 who abolished nepotism within the church hierarchy and was universally loved for his charity and piety
11093443-n,"Irving, Washington Irving",United States writer remembered for his stories (1783-1859)
11095442-n,"Ives, James Ives, James Merritt Ives",United States lithographer who (with his partner Nathaniel Currier) produced thousands of prints signed `Currier & Ives' (1824-1895)
11095660-n,"Charles Ives, Ives, Charles Edward Ives",United States composer noted for his innovative use of polytonality (1874-1954)
11096955-n,"Jackson, Michael Jackson, Michael Joe Jackson",United States singer who began singing with his four brothers and later became a highly successful star during the 1980s (born in 1958)
11098764-n,"Jakobson, Roman Jakobson, Roman Osipovich Jakobson",United States linguist (born in Russia) noted for his description of the universals of phonology (1896-1982)
11099534-n,"James, Jesse James",United States outlaw who fought as a Confederate soldier and later led a band of outlaws that robbed trains and banks in the West until he was murdered by a member of his own gang (1847-1882)
11099792-n,"James VI and I, James, James I, King James, King James I",the first Stuart to be king of England and Ireland from 1603 to 1625 and king of Scotland from 1567 to 1625; he was the son of Mary Queen of Scots and he succeeded Elizabeth I; he alienated the British Parliament by claiming the divine right of kings (1566-1625)
11100341-n,"James IV of Scotland, James, James IV",a Stuart king of Scotland who married a daughter of Henry VII; when England and France went to war in 1513 he invaded England and died in defeat at Flodden (1473-1513)
11102832-n,Jeremiah,(Old Testament) an Israelite prophet who is remembered for his angry lamentations (jeremiads) about the wickedness of his people (circa 626-587 BC)
11103054-n,"Jerome, Saint Jerome, St. Jerome, Hieronymus, Eusebius Hieronymus, Eusebius Sophronius Hieronymus",(Roman Catholic Church) one of the great Fathers of the early Christian Church whose major work was his translation of the Scriptures from Hebrew and Greek into Latin (which became the Vulgate); a saint and Doctor of the Church (347-420)
11103646-n,"Jesus, Jesus of Nazareth, the Nazarene, Jesus Christ, Christ, Savior, Saviour, Good Shepherd, Redeemer, Deliverer",a teacher and prophet born in Bethlehem and active in Nazareth; his life and sermons form the basis for Christianity (circa 4 BC - AD 29)
11105392-n,Job,a Jewish hero in the Old Testament who maintained his faith in God in spite of afflictions that tested him
11106269-n,"John, King John, John Lackland",youngest son of Henry II; King of England from 1199 to 1216; succeeded to the throne on the death of his brother Richard I; lost his French possessions; in 1215 John was compelled by the barons to sign the Magna Carta (1167-1216)
11107081-n,"John of Gaunt, Duke of Lancaster",the fourth son of Edward III who was the effective ruler of England during the close of his father's reign and during the minority of Richard II; his son was Henry Bolingbroke (1340-1399)
11107349-n,"John the Baptist, St. John the Baptist",(New Testament) a preacher and hermit and forerunner of Jesus (whom he baptized); was beheaded by Herod at the request of Salome
11107602-n,"Pope John Paul I, John Paul I, Albino Luciano",the first Pope to assume a double name; he reigned for only 34 days (1912-1978)
11108959-n,"Joliot, Jean-Frederic Joliot, Joliot-Curie, Jean-Frederic Joliot-Curie",French nuclear physicist who was Marie Curie's assistant and who worked with Marie Curie's daughter who he married (taking the name Joliot-Curie); he and his wife discovered how to synthesize new radioactive elements (1900-1958)
11109858-n,Jonah,(Old Testament) Jonah did not wish to become a prophet so God caused a great storm to throw him overboard from a ship; he was saved by being swallowed by a whale that vomited him out onto dry land
11110621-n,"Jones, Casey Jones, John Luther Jones",United States railroad engineer who died trying to stop his train from crashing into another train; a friend wrote a famous ballad describing the incident (1864-1900)
11111364-n,"Joplin, Scott Joplin",United States composer who was the first creator of ragtime to write down his compositions (1868-1917)
11111853-n,Joseph,"(Old Testament) the 11th son of Jacob and one of the 12 patriarchs of Israel; Jacob gave Joseph a coat of many colors, which made his brothers jealous and they sold him into slavery in Egypt"
11112531-n,Joshua,(Old Testament) Moses' successor who led the Israelites into the Promised Land; best remembered for his destruction of Jericho
11112928-n,"Jowett, Benjamin Jowett",English classical scholar noted for his translations of Plato and Aristotle (1817-1893)
11113106-n,"Joyce, James Joyce, James Augustine Aloysius Joyce",influential Irish writer noted for his many innovations (such as stream of consciousness writing) (1882-1941)
11113459-n,Judah,(Old Testament) the fourth son of Jacob who was forebear of one of the tribes of Israel; one of his descendants was to be the Messiah
11113664-n,"Judas, Judas Iscariot",(New Testament) the Apostle who betrayed Jesus to his enemies for 30 pieces of silver
11114302-n,"Julian, Julian the Apostate, Flavius Claudius Julianus",Roman Emperor and nephew of Constantine; he restored paganism as the official religion of the Roman Empire and destroyed Christian temples but his decision was reversed after his death (331?-363)
11115113-n,"Justinian, Justinian I, Justinian the Great",Byzantine emperor who held the eastern frontier of his empire against the Persians; codified Roman law in 529; his general Belisarius regained North Africa and Spain (482-565)
11116182-n,"Kamehameha I, Kamehameha the Great",Hawaiian king who united the islands under his rule (1758-1819)
11116791-n,"Karloff, Boris Karloff, William Henry Pratt",United States film actor (born in England) noted for his performances in horror films (1887-1969)
11116981-n,"Anatoly Karpov, Karpov, Anatoli Karpov, Anatoli Yevgenevich Karpov",Russian chess master who was world champion from 1975 until 1985 when he was defeated by Gary Kasparov (born in 1951)
11118213-n,"Kean, Edmund Kean",English actor noted for his portrayals of Shakespeare's great tragic characters (1789-1833)
11118370-n,"Keaton, Buster Keaton, Joseph Francis Keaton",United States comedian and actor in silent films noted for his acrobatic skills and deadpan face (1895-1966)
11118866-n,"Kekule, Friedrich August Kekule, Friedrich August Kekule von Stradonitz",German chemist remembered for his discovery of the ring structure of benzene (1829-1896)
11119428-n,"Will Keith Kellogg, Kellogg, W. K. Kellogg, Will Keith Kellog",United States food manufacturer who (with his brother) developed a breakfast cereal of crisp flakes of rolled and toasted wheat and corn; he established a company to manufacture the cereal (1860-1951)
11121240-n,"Arthur E. Kennelly, Kennelly, A. E. Kennelly, Arthur Edwin Kennelly",United States electrical engineer noted for his work on the theory of alternating currents; independently of Oliver Heaviside he discovered the existence of an atmospheric layer that reflects radio waves back to earth (1861-1939)
11121566-n,"Kent, Rockwell Kent",United States painter noted for his woodcuts (1882-1971)
11122664-n,"Kesey, Ken Kesey, Ken Elton Kesey",United States writer whose best-known novel was based on his experiences as an attendant in a mental hospital (1935-2001)
11123638-n,"Khachaturian, Aram Khachaturian, Aram Ilich Khachaturian",Russian composer (born in Armenia) whose works are romantic and reflect his interest in folk music (1903-1978)
11123998-n,"Ruhollah Khomeini, Khomeini, Ruholla Khomeini, Ayatollah Khomeini, Ayatollah Ruholla Khomeini",Iranian religious leader of the Shiites; when Shah Pahlavi's regime fell Khomeini established a new constitution giving himself supreme powers (1900-1989)
11125599-n,"Alfred Kinsey, Kinsey, Alfred Charles Kinsey",United States zoologist best known for his interview studies of sexual behavior (1894-1956)
11130195-n,"Krafft-Ebing, Richard von Krafft-Ebing, Baron Richard von Krafft-Ebing",German neurologist noted for his studies of sexual deviance (1840-1902)
11130907-n,"Alfred L. Kroeber, Kroeber, Alfred Kroeber, Alfred Louis Kroeber",United States anthropologist noted for his studies of culture (1876-1960)
11131835-n,"Krupp, Alfred Krupp",German arms manufacturer and son of Friedrich Krupp; his firm provided ordnance for German armies from the 1840s through World War II (1812-1887)
11132048-n,"Kublai Khan, Kubla Khan, Kublai Kaan",Mongolian emperor of China and grandson of Genghis Khan who completed his grandfather's conquest of China; he establish the Yuan dynasty and built a great capital on the site of modern Beijing where he received Marco Polo (1216-1294)
11133888-n,"Lachaise, Gaston Lachaise",United States sculptor (born in France) noted for his large nude figures (1882-1935)
11134413-n,"Laffite, Lafitte, Jean Laffite, Jean Lafitte",French pirate who aided the United States in the War of 1812 and received an official pardon for his crimes (1780-1826)
11135283-n,"Lancelot, Sir Lancelot",(Arthurian legend) one of the knights of the Round Table; friend of King Arthur until (according to some versions of the legend) he became the lover of Arthur's wife Guinevere
11139624-n,"Laver, Rod Laver, Rodney George Laver",Australian tennis player who in 1962 was the second man to win the Australian and French and English and United States singles titles in the same year; in 1969 he repeated this feat (born in 1938)
11140824-n,"Lawrence, T. E. Lawrence, Thomas Edward Lawrence, Lawrence of Arabia",Welsh soldier who from 1916 to 1918 organized the Arab revolt against the Turks; he later wrote an account of his adventures (1888-1935)
11141098-n,"Lawrence of Rome, Lawrence, Saint Lawrence, St. Lawrence, Laurentius",Roman martyr; supposedly Lawrence was ordered by the police to give up the church's treasure and when he responded by presenting the poor people of Rome he was roasted to death on a gridiron (died in 258)
11141441-n,"Leacock, Stephen Leacock, Stephen Butler Leacock",Canadian economist best remembered for his humorous writings (1869-1944)
11142104-n,"Leakey, Richard Leakey, Richard Erskine Leakey",English paleontologist (son of Louis Leakey and Mary Leakey) who continued the work of his parents; he was appointed director of a wildlife preserve in Kenya but resigned under political pressure (born in 1944)
11146071-n,"Lendl, Ivan Lendl",United States tennis player (born in Czechoslovakia) who won several singles championships; in 1992 he became a United States citizen (born in 1960)
11148663-n,"Leonidas I, Leonidas",king of Sparta and hero of the battle of Thermopylae where he was killed by the Persians (died in 480 BC)
11150464-n,"Lewis, Sinclair Lewis, Harry Sinclair Lewis",United States novelist who satirized middle-class America in his novel Main Street (1885-1951)
11151125-n,"Lewis, Carl Lewis, Frederick Carleton Lewis",United States athlete who won gold medals at the Olympics for his skill in sprinting and jumping (born in 1961)
11153187-n,"Lindsay, Vachel Lindsay, Nicholas Vachel Lindsay",United States poet who traveled the country trading his poems for room and board (1879-1931)
11153928-n,"Lipmann, Fritz Albert Lipmann",United States biochemist (born in Germany) noted for his studies of metabolic processes (1899-1986)
11154720-n,"William Lipscomb, Lipscomb, William Nunn Lipscom Jr.",United States chemist noted for his theories of molecular structure (born in 1919)
11155034-n,"Liston, Sonny Liston, Charles Liston",United States prizefighter who lost his world heavyweight championship to Cassius Clay in 1964 (1932-1970)
11156204-n,"Lloyd, Harold Lloyd, Harold Clayton Lloyd",United States comic actor in silent films; he used physical danger as a source of comedy (1893-1971)
11157918-n,"Longfellow, Henry Wadsworth Longfellow",United States poet remembered for his long narrative poems (1807-1882)
11159729-n,"Louis VI of France, Louis VI, Louis the Far, Louis the Wideawake, Louis the Bruiser",king of France whose military victories consolidated his reign (1081-1137)
11160233-n,"Louis IX of France, Louis IX, Saint Louis, St. Louis",king of France and son of Louis VIII; he led two unsuccessful Crusades; considered an ideal medieval king (1214-1270)
11160735-n,"Louis XII of France, Louis XII",king of France who was popular with his subjects (1462-1515)
11161009-n,"Louis XIV of France, Louis XIV, Sun King, Louis the Great",king of France from 1643 to 1715; his long reign was marked by the expansion of French influence in Europe and by the magnificence of his court and the Palace of Versailles (1638-1715)
11161485-n,"Louis XVI of France, Louis XVI",king of France from 1774 to 1792; his failure to grant reforms led to the French Revolution; he and his queen (Marie Antoinette) were guillotined (1754-1793)
11162604-n,"Lowell, Percival Lowell",United States astronomer whose studies of Mars led him to conclude that Mars was inhabited (1855-1916)
11164058-n,"Lucretius, Titus Lucretius Carus",Roman philosopher and poet; in a long didactic poem he tried to provide a scientific explanation of the universe (96-55 BC)
11165189-n,"Lunt, Alfred Lunt",United States actor who performed with his wife Lynn Fontanne in many stage productions (1893-1977)
11165720-n,"Lyly, John Lyly",English writer noted for his elaborate style (1554-1606)
11166183-n,Lysimachus,Macedonian general under Alexander the Great; with Seleucus he defeated Antigonus and Demetrius at the battle of Ipsus (circa 355-281 BC)
11166660-n,"MacArthur, Douglas MacArthur",United States general who served as chief of staff and commanded Allied forces in the South Pacific during World War II; he accepted the surrender of Japan (1880-1964)
11166904-n,"Macaulay, Thomas Babington Macaulay, First Baron Macaulay, Lord Macaulay",English historian noted for his history of England (1800-1859)
11169006-n,"Magellan, Ferdinand Magellan, Fernao Magalhaes",Portuguese navigator in the service of Spain; he commanded an expedition that was the first to circumnavigate the world (1480-1521)
11170214-n,"Maintenon, Marquise de Maintenon, Francoise d'Aubigne, Madame de Maintenon",French consort of Louis XIV who secretly married the king after the death of his first wife (1635-1719)
11170461-n,"Maitland, Frederic William Maitland",English historian noted for his works on the history of English law (1850-1906)
11171788-n,"Mallarme, Stephane Mallarme",French symbolist poet noted for his free verse (1842-1898)
11172112-n,"Malone, Edmund Malone, Edmond Malone",English scholar remembered for his chronology of Shakespeare's plays and his editions of Shakespeare and Dryden (1741-1812)
11174847-n,"Mantegna, Andrea Mantegna",Italian painter and engraver noted for his frescoes (1431-1506)
11175567-n,"Jean-Paul Marat, Marat, Jean Paul Marat",French revolutionary leader (born in Switzerland) who was a leader in overthrowing the Girondists and was stabbed to death in his bath by Charlotte Corday (1743-1793)
11175804-n,"Marceau, Marcel Marceau",French mime famous for his sad-faced clown (born in 1923)
11178744-n,"Marshall, John Marshall",United States jurist; as chief justice of the Supreme Court he established the principles of United States constitutional law (1755-1835)
11183699-n,"Jules Massenet, Massenet, Jules Emile Frederic Massenet",French composer best remembered for his pop operas (1842-1912)
11185154-n,"Mauldin, Bill Mauldin, William Henry Mauldin",United States cartoonist noted for his drawings of soldiers in battle (1921-2003)
11185329-n,"Maupassant, Guy de Maupassant, Henri Rene Albert Guy de Maupassant",French writer noted especially for his short stories (1850-1893)
11185702-n,"Maurois, Andre Maurois, Emile Herzog",French writer best known for his biographies (1885-1967)
11186241-n,"Maximian, Marcus Aurelius Valerius Maximianus, Herculius",Roman Emperor from 286 until he abdicated in 305; when Diocletian divided the Roman Empire in 286 Maximian became emperor in the west (died in 311)
11186867-n,"Mayer, Louis B. Mayer, Louis Burt Mayer",United States filmmaker (born in Russia) who founded his own film company and later merged with Samuel Goldwyn (1885-1957)
11188208-n,"McCauley, Mary McCauley, Mary Ludwig Hays McCauley, Molly Pitcher",heroine of the American Revolution who carried water to soldiers during the Battle of Monmouth Court House and took over her husband's gun when he was overcome by heat (1754-1832)
11189585-n,"McLuhan, Marshall McLuhan, Herbert Marshall McLuhan",Canadian writer noted for his analyses of the mass media (1911-1980)
11190594-n,"James Meade, Meade, James Edward Meade",English economist noted for his studies of international trade and finance (1907-1995)
11192401-n,"Melchior, Lauritz Melchior, Lauritz Lebrecht Hommel Melchior",United States operatic tenor (born in Denmark) noted for his Wagnerian roles (1890-1973)
11193189-n,"Mendel, Gregor Mendel, Johann Mendel",Augustinian monk and botanist whose experiments in breeding garden peas led to his eventual recognition as founder of the science of genetics (1822-1884)
11194344-n,"Menninger, Charles Menninger, Charles Frederick Menninger",United States psychiatrist who with his sons founded a famous psychiatric clinic in Topeka (1862-1953)
11195030-n,"Menuhin, Yehudi Menuhin, Sir Yehudi Menuhin",British violinist (born in the United States) who began his career as a child prodigy in the 1920s (1916-1999)
11195233-n,"Mercator, Gerardus Mercator, Gerhard Kremer",Flemish geographer who lived in Germany; he invented the Mercator projection of maps of the globe (1512-1594)
11199277-n,"Mill, John Mill, John Stuart Mill",English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873)
11203377-n,"Mithridates VI of Pontus, Mithridates, Mithridates VI, Mithridates the Great",ancient king of Pontus who expanded his kingdom by defeating the Romans but was later driven out by Pompey (132-63 BC)
11205034-n,"Mommsen, Theodor Mommsen",German historian noted for his history of Rome (1817-1903)
11206675-n,"Montespan, Marquise de Montespan, Francoise-Athenais de Rochechouart",French noblewoman who was mistress to Louis XIV until he became attracted to Madame de Maintenon (1641-1707)
11207920-n,"Montgolfier, Josef Michel Montgolfier",French inventor who (with his brother Jacques Etienne Montgolfier) pioneered hot-air ballooning (1740-1810)
11208113-n,"Montgolfier, Jacques Etienne Montgolfier",French inventor who (with his brother Josef Michel Montgolfier) pioneered hot-air ballooning (1745-1799)
11210173-n,"More, Thomas More, Sir Thomas More","English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state"
11214345-n,"Mozart, Wolfgang Amadeus Mozart",prolific Austrian composer and child prodigy; master of the classical style in all its forms of his time (1756-1791)
11216295-n,"Munchhausen, Karl Friedrich Hieronymus von Munchhausen, Munchausen, Baron Munchausen",German raconteur who told preposterous stories about his adventures as a soldier and hunter; his name is now associated with any telling of exaggerated stories or winning lies (1720-1797)
11217733-n,"Murrow, Edward R. Murrow, Edward Roscoe Murrow",United States broadcast journalist remembered for his reports from London during World War II (1908-1965)
11218598-n,"Muybridge, Eadweard Muybridge, Edward James Muggeridge",United States motion-picture pioneer remembered for his pictures of running horses taken with a series of still cameras (born in England) (1830-1904)
11219384-n,"Nanak, Guru Nanak",Indian religious leader who founded Sikhism in dissent from the caste system of Hinduism; he taught that all men had a right to search for knowledge of God and that spiritual liberation could be attained by meditating on the name of God (1469-1538)
11220676-n,"Nash, Ogden Nash",United States writer noted for his droll epigrams (1902-1971)
11223462-n,"Nero, Nero Claudius Caesar Drusus Germanicus, Lucius Domitius Ahenobarbus",Roman Emperor notorious for his monstrous vice and fantastic luxury (was said to have started a fire that destroyed much of Rome in 64) but the Roman Empire remained prosperous during his rule (37-68)
11224059-n,"Nerva, Marcus Cocceius Nerva",Emperor of Rome who introduced a degree of freedom after the repressive reign of Domitian; adopted Trajan as his successor (30-98)
11224399-n,Nestorius,Syrian who was a Christian bishop and Patriarch of Constantinople in the early fifth century; one of the major heresies concerning the doctrine of the hypostasis of Christ was named after him (died in 451)
11225365-n,"Newton, Isaac Newton, Sir Isaac Newton",English mathematician and physicist; remembered for developing the calculus and for his law of gravitation and his three laws of motion (1642-1726)
11226140-n,"Nicholas II of Russia, Nicholas II",the last czar of Russia who was forced to abdicate in 1917 by the Russian Revolution; he and his family were executed by the Bolsheviks (1868-1918)
11226695-n,"Barthold Georg Niebuhr, Niebuhr, Barthold George Niebuhr",German historian noted for his critical approach to sources and for his history of Rome (1776-1831)
11227115-n,"Friedrich Nietzsche, Nietzsche, Friedrich Wilhelm Nietzsche","influential German philosopher remembered for his concept of the superman and for his rejection of Christian values; considered, along with Kierkegaard, to be a founder of existentialism (1844-1900)"
11228421-n,Noah,the Hebrew patriarch who saved himself and his family and the animals by building an ark in which they survived 40 days and 40 nights of rain; the story of Noah and the flood is told in the Book of Genesis
11228678-n,"Nobel, Alfred Nobel, Alfred Bernhard Nobel",Swedish chemist remembered for his invention of dynamite and for the bequest that created the Nobel prizes (1833-1896)
11231226-n,"Obadiah, Abdias","a Hebrew minor prophet, he was chosen to prophesy against Edom"
11234310-n,"Olivier, Laurence Olivier, Sir Laurence Kerr Olivier, Baron Olivier of Brighton",English actor best know for his Shakespearean roles (1907-1989)
11235195-n,"Ono, Yoko Ono",United States musician (born in Japan) who married John Lennon and collaborated with him on recordings (born in 1933)
11235374-n,"Onsager, Lars Onsager",United States chemist (born in Norway) noted for his work in thermodynamics (1903-1976)
11236552-n,Origen,Greek philosopher and theologian who reinterpreted Christian doctrine through the philosophy of Neoplatonism; his work was later condemned as unorthodox (185-254)
11236912-n,"Orozco, Jose Orozco, Jose Clemente Orozco",Mexican painter noted for his monumental murals (1883-1949)
11238766-n,"Ovid, Publius Ovidius Naso",Roman poet remembered for his elegiac verses on love (43 BC - AD 17)
11240654-n,"Paige, Satchel Paige, Leroy Robert Paige",United States baseball player; a black pitcher noted for his longevity (1906-1982)
11242044-n,"Paracelsus, Philippus Aureolus Paracelsus, Theophrastus Philippus Aureolus Bombastus von Hohenheim",Swiss physician who introduced treatments of particular illnesses based on his observation and experience; he saw illness as having an external cause (rather than an imbalance of humors) and replaced traditional remedies with chemical remedies (1493-1541)
11245651-n,"Paul, Saint Paul, St. Paul, Apostle Paul, Paul the Apostle, Apostle of the Gentiles, Saul, Saul of Tarsus",(New Testament) a Christian missionary to the Gentiles; author of several Epistles in the New Testament; even though Paul was not present at the Last Supper he is considered an Apostle
11248476-n,"Peirce, Benjamin Peirce",United States mathematician and astronomer remembered for his studies of Uranus and Saturn and Neptune (1809-1880)
11248681-n,Pelagius,a British or Irish monk who denied the doctrines of original sin and predestination and defended human goodness and free will; his views were declared heretical by the Council of Ephesus in 431 (circa 360-418)
11249791-n,Pericles,Athenian statesman whose leadership contributed to Athens' political and cultural supremacy in Greece; he ordered the construction of the Parthenon (died in 429 BC)
11251423-n,"Peter I, Czar Peter I, Peter the Great",czar of Russia who introduced ideas from western Europe to reform the government; he extended his territories in the Baltic and founded St. Petersburg (1682-1725)
11252605-n,"Philip II, Philip II of Spain",king of Spain and Portugal and husband of Mary I; he supported the Counter Reformation and sent the Spanish Armada to invade England (1527-1598)
11253201-n,"Philip V of Macedon, Philip V",king of ancient Macedonia whose confrontations with the Romans led to his defeat and his loss of control over Greece
11253373-n,"Philip VI of France, Philip VI, Philip of Valois",king of France who founded the Valois dynasty; his dispute with Edward III over his succession led to the Hundred Years' War (1293-1350)
11253585-n,"Phintias, Pythias",friend of Damon; Phintias (according to legend) was condemned to death by Dionysius the Elder and asked a respite to put his affairs in order; Damon pledged his life for the return of his friend; when Phintias returned in time the tyrant released them both (4th century BC)
11254282-n,"Piaget, Jean Piaget",Swiss psychologist remembered for his studies of cognitive development in children (1896-1980)
11255500-n,Pindar,Greek lyric poet remembered for his odes (518?-438? BC)
11256842-n,"Pope Pius II, Pius II, Aeneas Silvius, Enea Silvio Piccolomini",Italian pope from 1458 to 1464 who is remembered for his unsuccessful attempt to lead a crusade against the Turks (1405-1464)
11257065-n,"Pope Pius V, Pius V, Antonio Ghislieri",Italian pope from 1566 to 1572 who led the reformation of the Roman Catholic Church; he excommunicated Elizabeth I (1504-1572)
11257265-n,"Pope Pius VI, Pius VI, Giovanni Angelo Braschi, Giannangelo Braschi",Italian pope from 1775 to 1799 who served during the French Revolution; Napoleon attacked the Papal States and in 1797 Pius VI was taken to France where he died (1717-1799)
11257540-n,"Pope Pius VII, Pius VII, Barnaba Chiaramonti, Luigi Barnaba Gregorio Chiaramonti",Italian pope from 1800 to 1823 who was humiliated by Napoleon and taken prisoner in 1809; he concluded a concordat with Napoleon and crowned him emperor of France; he returned to Rome in 1814 (1740-1823)
11258082-n,"Pope Pius X, Pius X, Giuseppe Sarto, Giuseppe Melchiorre Sarto",pope who condemned religious modernism; he was canonized in 1954 because of his interest in the poor (1835-1914)
11260723-n,"Polk, James Polk, James K. Polk, James Knox Polk, President Polk",11th President of the United States; his expansionism led to the Mexican War and the annexation of California and much of the southwest (1795-1849)
11261445-n,"Polycarp, Saint Polycarp, St. Polycarp",Greek bishop of Smyrna who refused to recant his Christian faith and was burned to death by pagans (circa 69-155)
11261844-n,"Pompey, Gnaeus Pompeius Magnus, Pompey the Great",Roman general and statesman who quarrelled with Caesar and fled to Egypt where he was murdered (106-48 BC)
11262067-n,"Ponce de Leon, Juan Ponce de Leon",Spanish explorer who accompanied Columbus on his second trip in 1493; in 1513 he discovered Florida while searching for the legendary Fountain of Youth (1460-1521)
11264051-n,"Potemkin, Potyokin, Grigori Potemkin, Grigori Potyokin, Grigori Aleksandrovich Potemkin",a Russian officer and politician who was a favorite of Catherine II and in 1762 helped her to seize power; when she visited the Crimea in 1787 he gave the order for sham villages to be built (1739-1791)
11268067-n,"Puccini, Giacomo Puccini",Italian operatic composer noted for the dramatic realism of his operas (1858-1924)
11268767-n,"Purkinje, Jan Evangelista Purkinje, Johannes Evangelista Purkinje",Bohemian physiologist remembered for his discovery of Purkinje cells and the Purkinje network (1787-1869)
11271778-n,"Racine, Jean Racine, Jean Baptiste Racine",French advocate of Jansenism; tragedian who based his works on Greek and Roman themes (1639-1699)
11272382-n,Rain-in-the-Face,a chief of the Sioux; he was with Sitting Bull and others at the Battle of Little Bighorn (1876) when General Custer's troops were massacred (1835-1905)
11273445-n,"Ramon y Cajal, Santiago Ramon y Cajal",Spanish histologist noted for his work on the structure of the nervous system (1852-1934)
11274383-n,"Knud Rasmussen, Rasmussen, Kund Johan Victor Rasmussen",Danish ethnologist and Arctic explorer; led expeditions into the Arctic to find support for his theory that Eskimos and North American Indians originally migrated from Asia (1879-1933)
11274673-n,"Grigori Rasputin, Rasputin, Grigori Efimovich Rasputin",Siberian peasant monk who was religious advisor in the court of Nicholas II; was assassinated by Russian noblemen who feared that his debauchery would weaken the monarchy (1872-1916)
11276755-n,"Rehnquist, William Rehnquist, William Hubbs Rehnquist","United States jurist who served as an associate justice on the United States Supreme Court from 1972 until 1986, when he was appointed chief justice (born in 1924)"
11278204-n,"Respighi, Ottorino Respighi",Italian composer remembered for his symphonic poems (1879-1936)
11278491-n,"Revere, Paul Revere",American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
11279044-n,"Rhodes, Cecil Rhodes, Cecil J. Rhodes, Cecil John Rhodes",British colonial financier and statesman in South Africa; made a fortune in gold and diamond mining; helped colonize the territory now known as Zimbabwe; he endowed annual fellowships for British Commonwealth and United States students to study at Oxford University (1853-1902)
11279940-n,"Richard I of England, Richard I, Richard Coeur de Lion, Richard the Lionheart, Richard the Lion-Hearted",son of Henry II and King of England from 1189 to 1199; a leader of the Third Crusade; on his way home from the crusade he was captured and held prisoner in the Holy Roman Empire until England ransomed him in 1194 (1157-1199)
11280315-n,"Richard II of England, Richard II",King of England from 1377 to 1399; he suppressed the Peasant's Revolt in 1381 but his reign was marked by popular discontent and baronial opposition in British Parliament and he was forced to abdicate in 1399 (1367-1400)
11280612-n,"Richard III of England, Richard III",King of England from 1483 to 1485; seized the throne from his nephew Edward V who was confined to the Tower of London and murdered; his reign ended when he was defeated by Henry Tudor (later Henry VII) at the battle of Bosworth Field (1452-1485)
11284333-n,"Roberts, Kenneth Roberts",United States writer remembered for his historical novels about colonial America (1885-1957)
11284604-n,"Roberts, Richard J. Roberts, Richard John Roberts",United States biochemist (born in England) honored for his discovery that some genes contain introns (born in 1943)
11285173-n,"Maximilien Robespierre, Robespierre, Maxmillien Marie Isidore de Robespierre",French revolutionary; leader of the Jacobins and architect of the Reign of Terror; was himself executed in a coup d'etat (1758-1794)
11286514-n,"Robinson, Robert Robinson, Sir Robert Robinson",English chemist noted for his studies of molecular structures in plants (1886-1975)
11287939-n,"Rodin, Auguste Rodin, Francois Auguste Rene Rodin",French sculptor noted for his renderings of the human form (1840-1917)
11288873-n,"Rogers, Will Rogers, William Penn Adair Rogers",United States humorist remembered for his homespun commentary on politics and American society (1879-1935)
11289687-n,"Roosevelt, Theodore Roosevelt, President Roosevelt, President Theodore Roosevelt",26th President of the United States; hero of the Spanish-American War; Panama Canal was built during his administration
11291710-n,"Gioachino Rossini, Rossini, Gioacchino Antonio Rossini",Italian composer remembered for his operas (1792-1868)
11293469-n,"Rubinstein, Arthur Rubinstein, Artur Rubinstein",United States pianist (born in Poland) known for his interpretations of the music of Chopin (1886-1982)
11294444-n,"Rushdie, Salman Rushdie, Ahmed Salman Rushdie",British writer of novels who was born in India; one of his novels is regarded as blasphemous by Muslims and a fatwa was issued condemning him to death (born in 1947)
11296666-n,"Rutledge, John Rutledge",United States jurist and second chief justice of the United States Supreme Court; he was appointed by George Washington and briefly served as chief justice but was ultimately rejected by the United States Senate (1739-1800)
